CLASSE;BAGAGES;PRIORITE;VOITURE;NOURRITURE;CONFORT;POLITESSE;ATTENTE
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;1;0;B;B;C;B
économique;1;0;0;B;B;C;B
économique;1;0;0;B;A;A;A
économique;1;0;0;B;A;A;A
économique;1;0;0;B;A;A;A
économique;1;0;0;B;A;A;A
économique;1;0;0;B;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;A;A;A
économique;1;0;0;C;B;C;B
économique;1;0;0;C;B;C;B
économique;1;0;0;C;B;C;B
économique;1;0;0;C;A;A;A
économique;1;0;0;B;A;A;A
économique;1;0;0;B;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;1;1;1;A;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;B;B;C;B
économique;0;0;0;C;B;C;B
économique;0;0;0;C;B;C;B
économique;0;0;0;C;B;C;B
économique;0;0;0;C;B;C;B
économique;0;0;0;C;B;C;B
économique;0;0;0;B;B;C;B
économique;0;0;0;B;C;B;A
économique;0;0;0;B;C;B;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;B;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
